entry_time,entry_price,exit_time,exit_price,exit_reason,stop_price,target_price,gross_pnl,holding_minutes,candidate_id,instrument,family,variant,params,signal_time,trading_session,side,reason,base_cost,stress_cost,net_pnl,stress_net_pnl,split,entry_hour
2026-04-06 10:04:00-04:00,24332.25,2026-04-06 10:04:00-04:00,24309.75,target,24347.25,24309.75,45.0,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-06 10:03:00-04:00,2026-04-06,short,vwap_failure_short,2.74,3.74,42.26,41.26,discovery,10:04
2026-04-06 10:14:00-04:00,24338.75,2026-04-06 10:15:00-04:00,24361.75,target,24324.25,24361.75,46.0,1,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-06 10:13:00-04:00,2026-04-06,long,vwap_reclaim_long,2.74,3.74,43.26,42.26,discovery,10:14
2026-04-06 10:39:00-04:00,24299.25,2026-04-06 10:39:00-04:00,24314.5,stop,24314.5,24277.0,-30.5,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-06 10:38:00-04:00,2026-04-06,short,vwap_failure_short,2.74,3.74,-33.24,-34.24,discovery,10:39
2026-04-07 10:34:00-04:00,24137.25,2026-04-07 10:34:00-04:00,24122.75,stop,24122.75,24160.25,-29.0,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-07 10:33:00-04:00,2026-04-07,long,vwap_reclaim_long,2.74,3.74,-31.740000000000002,-32.74,discovery,10:34
2026-04-07 10:35:00-04:00,24112.75,2026-04-07 10:35:00-04:00,24089.5,target,24127.0,24089.5,46.5,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-07 10:34:00-04:00,2026-04-07,short,vwap_failure_short,2.74,3.74,43.76,42.76,discovery,10:35
2026-04-07 11:56:00-04:00,24104.0,2026-04-07 11:56:00-04:00,24090.0,stop,24090.0,24127.5,-28.0,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-07 11:55:00-04:00,2026-04-07,long,vwap_reclaim_long,2.74,3.74,-30.740000000000002,-31.740000000000002,discovery,11:56
2026-04-08 09:47:00-04:00,25147.5,2026-04-08 09:48:00-04:00,25132.25,stop,25132.25,25169.75,-30.5,1,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-08 09:46:00-04:00,2026-04-08,long,vwap_reclaim_long,2.74,3.74,-33.24,-34.24,discovery,09:47
2026-04-08 09:51:00-04:00,25128.75,2026-04-08 09:51:00-04:00,25106.75,target,25144.25,25106.75,44.0,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-08 09:50:00-04:00,2026-04-08,short,vwap_failure_short,2.74,3.74,41.26,40.26,discovery,09:51
2026-04-08 11:47:00-04:00,25071.75,2026-04-08 12:01:00-04:00,25094.5,target,25057.0,25094.5,45.5,14,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-08 11:46:00-04:00,2026-04-08,long,vwap_reclaim_long,2.74,3.74,42.76,41.76,discovery,11:47
2026-04-09 09:51:00-04:00,25051.0,2026-04-09 09:51:00-04:00,25029.25,target,25066.75,25029.25,43.5,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-09 09:50:00-04:00,2026-04-09,short,vwap_failure_short,2.74,3.74,40.76,39.76,discovery,09:51
2026-04-09 10:53:00-04:00,25026.5,2026-04-09 10:55:00-04:00,25049.5,target,25012.0,25049.5,46.0,2,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-09 10:52:00-04:00,2026-04-09,long,vwap_reclaim_long,2.74,3.74,43.26,42.26,discovery,10:53
2026-04-09 11:08:00-04:00,25022.75,2026-04-09 11:10:00-04:00,25037.5,stop,25037.5,25000.0,-29.5,2,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-09 11:07:00-04:00,2026-04-09,short,vwap_failure_short,2.74,3.74,-32.24,-33.24,discovery,11:08
2026-04-10 09:46:00-04:00,25333.75,2026-04-10 09:50:00-04:00,25318.75,stop,25318.75,25356.25,-30.0,4,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-10 09:45:00-04:00,2026-04-10,long,vwap_reclaim_long,2.74,3.74,-32.74,-33.74,discovery,09:46
2026-04-10 09:50:00-04:00,25323.5,2026-04-10 09:50:00-04:00,25301.5,target,25339.0,25301.5,44.0,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-10 09:49:00-04:00,2026-04-10,short,vwap_failure_short,2.74,3.74,41.26,40.26,discovery,09:50
2026-04-10 09:53:00-04:00,25335.5,2026-04-10 09:58:00-04:00,25320.0,stop,25320.0,25357.5,-31.0,5,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-10 09:52:00-04:00,2026-04-10,long,vwap_reclaim_long,2.74,3.74,-33.74,-34.74,discovery,09:53
2026-04-13 09:49:00-04:00,25214.75,2026-04-13 09:49:00-04:00,25237.25,target,25199.75,25237.25,45.0,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-13 09:48:00-04:00,2026-04-13,long,vwap_reclaim_long,2.74,3.74,42.26,41.26,discovery,09:49
2026-04-14 09:58:00-04:00,25728.0,2026-04-14 10:06:00-04:00,25742.25,stop,25742.25,25704.75,-28.5,8,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-14 09:57:00-04:00,2026-04-14,short,vwap_failure_short,2.74,3.74,-31.240000000000002,-32.24,discovery,09:58
2026-04-14 10:03:00-04:00,25729.25,2026-04-14 10:04:00-04:00,25714.5,stop,25714.5,25752.0,-29.5,1,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-14 10:02:00-04:00,2026-04-14,long,vwap_reclaim_long,2.74,3.74,-32.24,-33.24,discovery,10:03
2026-04-14 10:04:00-04:00,25723.25,2026-04-14 10:06:00-04:00,25738.0,stop,25738.0,25700.5,-29.5,2,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-14 10:03:00-04:00,2026-04-14,short,vwap_failure_short,2.74,3.74,-32.24,-33.24,discovery,10:04
2026-04-15 09:48:00-04:00,26046.25,2026-04-15 09:49:00-04:00,26031.5,stop,26031.5,26069.0,-29.5,1,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-15 09:47:00-04:00,2026-04-15,long,vwap_reclaim_long,2.74,3.74,-32.24,-33.24,discovery,09:48
2026-04-15 12:57:00-04:00,26119.75,2026-04-15 12:57:00-04:00,26134.75,stop,26134.75,26097.25,-30.0,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-15 12:56:00-04:00,2026-04-15,short,vwap_failure_short,2.74,3.74,-32.74,-33.74,discovery,12:57
2026-04-15 12:58:00-04:00,26140.25,2026-04-15 13:04:00-04:00,26162.5,target,26125.0,26162.5,44.5,6,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-15 12:57:00-04:00,2026-04-15,long,vwap_reclaim_long,2.74,3.74,41.76,40.76,discovery,12:58
2026-04-16 09:47:00-04:00,26381.75,2026-04-16 09:50:00-04:00,26358.5,target,26396.0,26358.5,46.5,3,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-16 09:46:00-04:00,2026-04-16,short,vwap_failure_short,2.74,3.74,43.76,42.76,discovery,09:47
2026-04-16 09:48:00-04:00,26383.0,2026-04-16 09:48:00-04:00,26368.0,stop,26368.0,26405.5,-30.0,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-16 09:47:00-04:00,2026-04-16,long,vwap_reclaim_long,2.74,3.74,-32.74,-33.74,discovery,09:48
2026-04-16 09:49:00-04:00,26377.0,2026-04-16 09:51:00-04:00,26354.0,target,26391.5,26354.0,46.0,2,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-16 09:48:00-04:00,2026-04-16,short,vwap_failure_short,2.74,3.74,43.26,42.26,discovery,09:49
2026-04-17 09:47:00-04:00,26677.0,2026-04-17 09:47:00-04:00,26654.5,target,26692.0,26654.5,45.0,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-17 09:46:00-04:00,2026-04-17,short,vwap_failure_short,2.74,3.74,42.26,41.26,discovery,09:47
2026-04-17 09:50:00-04:00,26699.25,2026-04-17 09:51:00-04:00,26721.25,target,26683.75,26721.25,44.0,1,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-17 09:49:00-04:00,2026-04-17,long,vwap_reclaim_long,2.74,3.74,41.26,40.26,discovery,09:50
2026-04-17 13:25:00-04:00,26757.75,2026-04-17 13:25:00-04:00,26772.5,stop,26772.5,26735.0,-29.5,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-17 13:24:00-04:00,2026-04-17,short,vwap_failure_short,2.74,3.74,-32.24,-33.24,discovery,13:25
2026-04-20 09:53:00-04:00,26766.5,2026-04-20 09:55:00-04:00,26789.5,target,26752.0,26789.5,46.0,2,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-20 09:52:00-04:00,2026-04-20,long,vwap_reclaim_long,2.74,3.74,43.26,42.26,discovery,09:53
2026-04-20 09:54:00-04:00,26757.75,2026-04-20 09:54:00-04:00,26772.75,stop,26772.75,26735.25,-30.0,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-20 09:53:00-04:00,2026-04-20,short,vwap_failure_short,2.74,3.74,-32.74,-33.74,discovery,09:54
2026-04-20 09:55:00-04:00,26774.25,2026-04-20 09:56:00-04:00,26796.75,target,26759.25,26796.75,45.0,1,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-20 09:54:00-04:00,2026-04-20,long,vwap_reclaim_long,2.74,3.74,42.26,41.26,discovery,09:55
