entry_time,entry_price,exit_time,exit_price,exit_reason,stop_price,target_price,gross_pnl,holding_minutes,same_bar_stop_target_ambiguity,candidate_id,instrument,family,strategy_family,variant,signal_timeframe,execution_timeframe,entry_rule,stop_rule,target_rule,time_stop,max_trades_per_day,stop_after_first_loser,one_open_position,execution_mode,discovery_role,params,signal_time,signal_available_time,trading_session,side,reason,base_cost,stress_cost,net_pnl,stress_net_pnl,split,entry_hour
2026-04-08 10:45:00-04:00,25032.25,2026-04-08 15:55:00-04:00,25038.75,time_flatten,25251.75,24703.625,-13.0,310,0,MNQ_first_hour_range_tf15_expansion,MNQ,first_hour_range,first_hour_range,tf15_expansion,15,1m,expansion,first-hour range based,1.5R,15:55 ET,1,False,True,max1,new_candidate,mode=expansion;rr=1.5;tick_size=0.25,2026-04-08 10:30:00-04:00,2026-04-08 10:45:00-04:00,2026-04-08,short,first_hour_short,2.74,3.74,-15.74,-16.740000000000002,discovery,10:45
2026-04-13 11:00:00-04:00,25351.5,2026-04-13 15:55:00-04:00,25522.25,time_flatten,25160.0,25639.375,341.5,295,0,MNQ_first_hour_range_tf15_expansion,MNQ,first_hour_range,first_hour_range,tf15_expansion,15,1m,expansion,first-hour range based,1.5R,15:55 ET,1,False,True,max1,new_candidate,mode=expansion;rr=1.5;tick_size=0.25,2026-04-13 10:45:00-04:00,2026-04-13 11:00:00-04:00,2026-04-13,long,first_hour_long,2.74,3.74,338.76,337.76,discovery,11:00
2026-04-14 11:30:00-04:00,25833.75,2026-04-14 15:55:00-04:00,25964.5,time_flatten,25655.75,26102.0,261.5,265,0,MNQ_first_hour_range_tf15_expansion,MNQ,first_hour_range,first_hour_range,tf15_expansion,15,1m,expansion,first-hour range based,1.5R,15:55 ET,1,False,True,max1,new_candidate,mode=expansion;rr=1.5;tick_size=0.25,2026-04-14 11:15:00-04:00,2026-04-14 11:30:00-04:00,2026-04-14,long,first_hour_long,2.74,3.74,258.76,257.76,discovery,11:30
2026-04-15 10:45:00-04:00,26145.0,2026-04-15 15:55:00-04:00,26354.0,time_flatten,25982.75,26389.0,418.0,310,0,MNQ_first_hour_range_tf15_expansion,MNQ,first_hour_range,first_hour_range,tf15_expansion,15,1m,expansion,first-hour range based,1.5R,15:55 ET,1,False,True,max1,new_candidate,mode=expansion;rr=1.5;tick_size=0.25,2026-04-15 10:30:00-04:00,2026-04-15 10:45:00-04:00,2026-04-15,long,first_hour_long,2.74,3.74,415.26,414.26,discovery,10:45
2026-04-17 10:45:00-04:00,26832.0,2026-04-17 15:55:00-04:00,26815.5,time_flatten,26629.5,27134.5,-33.0,310,0,MNQ_first_hour_range_tf15_expansion,MNQ,first_hour_range,first_hour_range,tf15_expansion,15,1m,expansion,first-hour range based,1.5R,15:55 ET,1,False,True,max1,new_candidate,mode=expansion;rr=1.5;tick_size=0.25,2026-04-17 10:30:00-04:00,2026-04-17 10:45:00-04:00,2026-04-17,long,first_hour_long,2.74,3.74,-35.74,-36.74,discovery,10:45
2026-04-20 10:45:00-04:00,26696.25,2026-04-20 15:55:00-04:00,26726.75,time_flatten,26826.0,26500.375,-61.0,310,0,MNQ_first_hour_range_tf15_expansion,MNQ,first_hour_range,first_hour_range,tf15_expansion,15,1m,expansion,first-hour range based,1.5R,15:55 ET,1,False,True,max1,new_candidate,mode=expansion;rr=1.5;tick_size=0.25,2026-04-20 10:30:00-04:00,2026-04-20 10:45:00-04:00,2026-04-20,short,first_hour_short,2.74,3.74,-63.74,-64.74,discovery,10:45
2026-04-22 12:15:00-04:00,26998.0,2026-04-22 15:55:00-04:00,27084.25,time_flatten,26807.75,27283.375,172.5,220,0,MNQ_first_hour_range_tf15_expansion,MNQ,first_hour_range,first_hour_range,tf15_expansion,15,1m,expansion,first-hour range based,1.5R,15:55 ET,1,False,True,max1,new_candidate,mode=expansion;rr=1.5;tick_size=0.25,2026-04-22 12:00:00-04:00,2026-04-22 12:15:00-04:00,2026-04-22,long,first_hour_long,2.74,3.74,169.76,168.76,discovery,12:15
2026-04-23 11:15:00-04:00,27119.25,2026-04-23 13:09:00-04:00,26964.0,stop,26964.0,27353.375,-310.5,114,0,MNQ_first_hour_range_tf15_expansion,MNQ,first_hour_range,first_hour_range,tf15_expansion,15,1m,expansion,first-hour range based,1.5R,15:55 ET,1,False,True,max1,new_candidate,mode=expansion;rr=1.5;tick_size=0.25,2026-04-23 11:00:00-04:00,2026-04-23 11:15:00-04:00,2026-04-23,long,first_hour_long,2.74,3.74,-313.24,-314.24,discovery,11:15
2026-04-29 10:45:00-04:00,27306.25,2026-04-29 15:55:00-04:00,27295.75,time_flatten,27124.25,27579.25,-21.0,310,0,MNQ_first_hour_range_tf15_expansion,MNQ,first_hour_range,first_hour_range,tf15_expansion,15,1m,expansion,first-hour range based,1.5R,15:55 ET,1,False,True,max1,new_candidate,mode=expansion;rr=1.5;tick_size=0.25,2026-04-29 10:30:00-04:00,2026-04-29 10:45:00-04:00,2026-04-29,long,first_hour_long,2.74,3.74,-23.740000000000002,-24.740000000000002,discovery,10:45
2026-05-04 10:45:00-04:00,27926.25,2026-05-04 11:19:00-04:00,27808.25,stop,27808.25,28103.25,-236.0,34,0,MNQ_first_hour_range_tf15_expansion,MNQ,first_hour_range,first_hour_range,tf15_expansion,15,1m,expansion,first-hour range based,1.5R,15:55 ET,1,False,True,max1,new_candidate,mode=expansion;rr=1.5;tick_size=0.25,2026-05-04 10:30:00-04:00,2026-05-04 10:45:00-04:00,2026-05-04,long,first_hour_long,2.74,3.74,-238.74,-239.74,discovery,10:45
