entry_time,entry_price,exit_time,exit_price,exit_reason,stop_price,target_price,gross_pnl,holding_minutes,same_bar_stop_target_ambiguity,candidate_id,instrument,family,strategy_family,variant,signal_timeframe,execution_timeframe,entry_rule,stop_rule,target_rule,time_stop,max_trades_per_day,stop_after_first_loser,one_open_position,execution_mode,discovery_role,params,signal_time,signal_available_time,trading_session,side,reason,base_cost,stress_cost,net_pnl,stress_net_pnl,split,entry_hour
2026-04-06 09:55:00-04:00,24381.0,2026-04-06 09:59:00-04:00,24408.25,stop,24408.25,24189.625,-54.5,4,0,MNQ_overnight_levels_tf5_sweep_reverse_40x60,MNQ,overnight_levels,overnight_levels,tf5_sweep_reverse_40x60,5,1m,sweep_reverse,40 ticks or overnight level,overnight midpoint or fixed ticks,15:55 ET,2,False,True,max2,new_candidate,mode=sweep_reverse;stop_ticks=40;target_ticks=60;tick_size=0.25,2026-04-06 09:50:00-04:00,2026-04-06 09:55:00-04:00,2026-04-06,short,overnight_high_sweep,2.74,3.74,-57.24,-58.24,discovery,09:55
2026-04-06 10:05:00-04:00,24292.25,2026-04-06 15:55:00-04:00,24343.75,time_flatten,24408.25,24189.625,-103.0,350,0,MNQ_overnight_levels_tf5_sweep_reverse_40x60,MNQ,overnight_levels,overnight_levels,tf5_sweep_reverse_40x60,5,1m,sweep_reverse,40 ticks or overnight level,overnight midpoint or fixed ticks,15:55 ET,2,False,True,max2,new_candidate,mode=sweep_reverse;stop_ticks=40;target_ticks=60;tick_size=0.25,2026-04-06 10:00:00-04:00,2026-04-06 10:05:00-04:00,2026-04-06,short,overnight_high_sweep,2.74,3.74,-105.74,-106.74,discovery,10:05
2026-04-07 12:05:00-04:00,24176.75,2026-04-07 13:36:00-04:00,24292.625,target,24123.75,24292.625,231.75,91,0,MNQ_overnight_levels_tf5_sweep_reverse_40x60,MNQ,overnight_levels,overnight_levels,tf5_sweep_reverse_40x60,5,1m,sweep_reverse,40 ticks or overnight level,overnight midpoint or fixed ticks,15:55 ET,2,False,True,max2,new_candidate,mode=sweep_reverse;stop_ticks=40;target_ticks=60;tick_size=0.25,2026-04-07 12:00:00-04:00,2026-04-07 12:05:00-04:00,2026-04-07,long,overnight_low_sweep,2.74,3.74,229.01,228.01,discovery,12:05
2026-04-09 12:05:00-04:00,25236.5,2026-04-09 15:50:00-04:00,25267.0,stop,25267.0,25105.0,-61.0,225,0,MNQ_overnight_levels_tf5_sweep_reverse_40x60,MNQ,overnight_levels,overnight_levels,tf5_sweep_reverse_40x60,5,1m,sweep_reverse,40 ticks or overnight level,overnight midpoint or fixed ticks,15:55 ET,2,False,True,max2,new_candidate,mode=sweep_reverse;stop_ticks=40;target_ticks=60;tick_size=0.25,2026-04-09 12:00:00-04:00,2026-04-09 12:05:00-04:00,2026-04-09,short,overnight_high_sweep,2.74,3.74,-63.74,-64.74,discovery,12:05
2026-04-10 10:35:00-04:00,25355.5,2026-04-10 11:15:00-04:00,25376.75,stop,25376.75,25280.0,-42.5,40,0,MNQ_overnight_levels_tf5_sweep_reverse_40x60,MNQ,overnight_levels,overnight_levels,tf5_sweep_reverse_40x60,5,1m,sweep_reverse,40 ticks or overnight level,overnight midpoint or fixed ticks,15:55 ET,2,False,True,max2,new_candidate,mode=sweep_reverse;stop_ticks=40;target_ticks=60;tick_size=0.25,2026-04-10 10:30:00-04:00,2026-04-10 10:35:00-04:00,2026-04-10,short,overnight_high_sweep,2.74,3.74,-45.24,-46.24,discovery,10:35
2026-04-10 11:30:00-04:00,25347.75,2026-04-10 11:53:00-04:00,25280.0,target,25376.75,25280.0,135.5,23,0,MNQ_overnight_levels_tf5_sweep_reverse_40x60,MNQ,overnight_levels,overnight_levels,tf5_sweep_reverse_40x60,5,1m,sweep_reverse,40 ticks or overnight level,overnight midpoint or fixed ticks,15:55 ET,2,False,True,max2,new_candidate,mode=sweep_reverse;stop_ticks=40;target_ticks=60;tick_size=0.25,2026-04-10 11:25:00-04:00,2026-04-10 11:30:00-04:00,2026-04-10,short,overnight_high_sweep,2.74,3.74,132.76,131.76,discovery,11:30
2026-04-16 10:10:00-04:00,26346.5,2026-04-16 10:17:00-04:00,26334.0,stop,26334.0,26417.5,-25.0,7,0,MNQ_overnight_levels_tf5_sweep_reverse_40x60,MNQ,overnight_levels,overnight_levels,tf5_sweep_reverse_40x60,5,1m,sweep_reverse,40 ticks or overnight level,overnight midpoint or fixed ticks,15:55 ET,2,False,True,max2,new_candidate,mode=sweep_reverse;stop_ticks=40;target_ticks=60;tick_size=0.25,2026-04-16 10:05:00-04:00,2026-04-16 10:10:00-04:00,2026-04-16,long,overnight_low_sweep,2.74,3.74,-27.740000000000002,-28.740000000000002,discovery,10:10
2026-04-16 10:30:00-04:00,26352.25,2026-04-16 10:49:00-04:00,26417.5,target,26334.0,26417.5,130.5,19,0,MNQ_overnight_levels_tf5_sweep_reverse_40x60,MNQ,overnight_levels,overnight_levels,tf5_sweep_reverse_40x60,5,1m,sweep_reverse,40 ticks or overnight level,overnight midpoint or fixed ticks,15:55 ET,2,False,True,max2,new_candidate,mode=sweep_reverse;stop_ticks=40;target_ticks=60;tick_size=0.25,2026-04-16 10:25:00-04:00,2026-04-16 10:30:00-04:00,2026-04-16,long,overnight_low_sweep,2.74,3.74,127.76,126.76,discovery,10:30
2026-04-17 10:55:00-04:00,26838.5,2026-04-17 11:06:00-04:00,26854.75,stop,26854.75,26644.0,-32.5,11,0,MNQ_overnight_levels_tf5_sweep_reverse_40x60,MNQ,overnight_levels,overnight_levels,tf5_sweep_reverse_40x60,5,1m,sweep_reverse,40 ticks or overnight level,overnight midpoint or fixed ticks,15:55 ET,2,False,True,max2,new_candidate,mode=sweep_reverse;stop_ticks=40;target_ticks=60;tick_size=0.25,2026-04-17 10:50:00-04:00,2026-04-17 10:55:00-04:00,2026-04-17,short,overnight_high_sweep,2.74,3.74,-35.24,-36.24,discovery,10:55
2026-04-17 11:10:00-04:00,26843.25,2026-04-17 11:30:00-04:00,26854.75,stop,26854.75,26644.0,-23.0,20,0,MNQ_overnight_levels_tf5_sweep_reverse_40x60,MNQ,overnight_levels,overnight_levels,tf5_sweep_reverse_40x60,5,1m,sweep_reverse,40 ticks or overnight level,overnight midpoint or fixed ticks,15:55 ET,2,False,True,max2,new_candidate,mode=sweep_reverse;stop_ticks=40;target_ticks=60;tick_size=0.25,2026-04-17 11:05:00-04:00,2026-04-17 11:10:00-04:00,2026-04-17,short,overnight_high_sweep,2.74,3.74,-25.740000000000002,-26.740000000000002,discovery,11:10
