entry_time,entry_price,exit_time,exit_price,exit_reason,stop_price,target_price,gross_pnl,holding_minutes,same_bar_stop_target_ambiguity,candidate_id,instrument,family,strategy_family,variant,signal_timeframe,execution_timeframe,entry_rule,stop_rule,target_rule,time_stop,max_trades_per_day,stop_after_first_loser,one_open_position,execution_mode,discovery_role,params,signal_time,signal_available_time,trading_session,side,reason,base_cost,stress_cost,net_pnl,stress_net_pnl,split,entry_hour
2026-04-06 12:45:00-04:00,24334.5,2026-04-06 12:52:00-04:00,24319.75,stop,24319.75,24357.25,-29.5,7,0,MNQ_vwap_reclaim_rejection_tf15_reclaim_60x90,MNQ,vwap_reclaim_rejection,vwap_reclaim_rejection,tf15_reclaim_60x90,15,1m,VWAP cross confirmation,60 ticks,90 ticks,15:55 ET,2,False,True,max2,new_candidate,mode=reclaim;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-06 12:30:00-04:00,2026-04-06 12:45:00-04:00,2026-04-06,long,vwap_reclaim_long,2.74,3.74,-32.24,-33.24,discovery,12:45
2026-04-06 14:30:00-04:00,24342.0,2026-04-06 14:34:00-04:00,24326.25,stop,24326.25,24363.75,-31.5,4,0,MNQ_vwap_reclaim_rejection_tf15_reclaim_60x90,MNQ,vwap_reclaim_rejection,vwap_reclaim_rejection,tf15_reclaim_60x90,15,1m,VWAP cross confirmation,60 ticks,90 ticks,15:55 ET,2,False,True,max2,new_candidate,mode=reclaim;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-06 14:15:00-04:00,2026-04-06 14:30:00-04:00,2026-04-06,long,vwap_reclaim_long,2.74,3.74,-34.24,-35.24,discovery,14:30
2026-04-07 12:00:00-04:00,24107.5,2026-04-07 12:02:00-04:00,24130.75,target,24093.25,24130.75,46.5,2,0,MNQ_vwap_reclaim_rejection_tf15_reclaim_60x90,MNQ,vwap_reclaim_rejection,vwap_reclaim_rejection,tf15_reclaim_60x90,15,1m,VWAP cross confirmation,60 ticks,90 ticks,15:55 ET,2,False,True,max2,new_candidate,mode=reclaim;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-07 11:45:00-04:00,2026-04-07 12:00:00-04:00,2026-04-07,long,vwap_reclaim_long,2.74,3.74,43.76,42.76,discovery,12:00
2026-04-08 12:00:00-04:00,25078.5,2026-04-08 12:01:00-04:00,25100.5,target,25063.0,25100.5,44.0,1,0,MNQ_vwap_reclaim_rejection_tf15_reclaim_60x90,MNQ,vwap_reclaim_rejection,vwap_reclaim_rejection,tf15_reclaim_60x90,15,1m,VWAP cross confirmation,60 ticks,90 ticks,15:55 ET,2,False,True,max2,new_candidate,mode=reclaim;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-08 11:45:00-04:00,2026-04-08 12:00:00-04:00,2026-04-08,long,vwap_reclaim_long,2.74,3.74,41.26,40.26,discovery,12:00
2026-04-09 11:00:00-04:00,25041.0,2026-04-09 11:04:00-04:00,25025.5,stop,25025.5,25063.0,-31.0,4,0,MNQ_vwap_reclaim_rejection_tf15_reclaim_60x90,MNQ,vwap_reclaim_rejection,vwap_reclaim_rejection,tf15_reclaim_60x90,15,1m,VWAP cross confirmation,60 ticks,90 ticks,15:55 ET,2,False,True,max2,new_candidate,mode=reclaim;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-09 10:45:00-04:00,2026-04-09 11:00:00-04:00,2026-04-09,long,vwap_reclaim_long,2.74,3.74,-33.74,-34.74,discovery,11:00
2026-04-10 10:15:00-04:00,25322.5,2026-04-10 10:25:00-04:00,25345.5,target,25308.0,25345.5,46.0,10,0,MNQ_vwap_reclaim_rejection_tf15_reclaim_60x90,MNQ,vwap_reclaim_rejection,vwap_reclaim_rejection,tf15_reclaim_60x90,15,1m,VWAP cross confirmation,60 ticks,90 ticks,15:55 ET,2,False,True,max2,new_candidate,mode=reclaim;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-10 10:00:00-04:00,2026-04-10 10:15:00-04:00,2026-04-10,long,vwap_reclaim_long,2.74,3.74,43.26,42.26,discovery,10:15
2026-04-10 11:00:00-04:00,25352.5,2026-04-10 11:05:00-04:00,25337.0,stop,25337.0,25374.5,-31.0,5,0,MNQ_vwap_reclaim_rejection_tf15_reclaim_60x90,MNQ,vwap_reclaim_rejection,vwap_reclaim_rejection,tf15_reclaim_60x90,15,1m,VWAP cross confirmation,60 ticks,90 ticks,15:55 ET,2,False,True,max2,new_candidate,mode=reclaim;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-10 10:45:00-04:00,2026-04-10 11:00:00-04:00,2026-04-10,long,vwap_reclaim_long,2.74,3.74,-33.74,-34.74,discovery,11:00
2026-04-14 10:15:00-04:00,25775.25,2026-04-14 10:28:00-04:00,25797.75,target,25760.25,25797.75,45.0,13,0,MNQ_vwap_reclaim_rejection_tf15_reclaim_60x90,MNQ,vwap_reclaim_rejection,vwap_reclaim_rejection,tf15_reclaim_60x90,15,1m,VWAP cross confirmation,60 ticks,90 ticks,15:55 ET,2,False,True,max2,new_candidate,mode=reclaim;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-14 10:00:00-04:00,2026-04-14 10:15:00-04:00,2026-04-14,long,vwap_reclaim_long,2.74,3.74,42.26,41.26,discovery,10:15
2026-04-16 10:45:00-04:00,26389.5,2026-04-16 10:45:00-04:00,26412.5,target,26375.0,26412.5,46.0,0,0,MNQ_vwap_reclaim_rejection_tf15_reclaim_60x90,MNQ,vwap_reclaim_rejection,vwap_reclaim_rejection,tf15_reclaim_60x90,15,1m,VWAP cross confirmation,60 ticks,90 ticks,15:55 ET,2,False,True,max2,new_candidate,mode=reclaim;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-16 10:30:00-04:00,2026-04-16 10:45:00-04:00,2026-04-16,long,vwap_reclaim_long,2.74,3.74,43.26,42.26,discovery,10:45
2026-04-16 14:45:00-04:00,26436.0,2026-04-16 14:55:00-04:00,26421.25,stop,26421.25,26458.75,-29.5,10,0,MNQ_vwap_reclaim_rejection_tf15_reclaim_60x90,MNQ,vwap_reclaim_rejection,vwap_reclaim_rejection,tf15_reclaim_60x90,15,1m,VWAP cross confirmation,60 ticks,90 ticks,15:55 ET,2,False,True,max2,new_candidate,mode=reclaim;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-16 14:30:00-04:00,2026-04-16 14:45:00-04:00,2026-04-16,long,vwap_reclaim_long,2.74,3.74,-32.24,-33.24,discovery,14:45
